,Cicerone Negrut,Constantí Sucarrats,David Cazorla,Einars Dzijums,Irineu de Lima,Liu kangji,Liucius Kveškus,Sancho Cabanás,Tilo Starrock
Cicerone Negrut,0.5,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Constantí Sucarrats,0.0,0.7,0.0,0.0,3.0,0.0,2.0,0.0,0.0
David Cazorla,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Einars Dzijums,0.0,2.0,0.0,0.67,1.33,2.0,0.0,0.0,2.0
Irineu de Lima,0.0,0.71,0.0,0.0,0.17,0.0,0.0,0.0,0.8
Liu kangji,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Liucius Kveškus,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0
Sancho Cabanás,0.0,0.0,0.0,0.67,0.0,0.0,2.0,0.0,0.0
Tilo Starrock,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.67
